text,upvotes,downvotes,student_id,comment_id
Here is a comment by student #2937 for the class with id #000517. I give it 2 difficulty and 5 quality.,8,1,2937,60
Here is a comment by student #3495 for the class with id #000517. I give it 1 difficulty and 5 quality.,7,0,3495,61
Here is a comment by student #3546 for the class with id #000517. I give it 4 difficulty and 1 quality.,3,0,3546,62
Here is a comment by student #3588 for the class with id #000517. I give it 5 difficulty and 5 quality.,0,0,3588,63
Here is a comment by student #2556 for the class with id #000517. I give it 1 difficulty and 5 quality.,2,1,2556,64
Here is a comment by student #2832 for the class with id #022878. I give it 5 difficulty and 1 quality.,1,0,2832,65
Here is a comment by student #2812 for the class with id #022878. I give it 4 difficulty and 4 quality.,8,0,2812,66
Here is a comment by student #1634 for the class with id #022878. I give it 5 difficulty and 1 quality.,6,0,1634,67
Here is a comment by student #2604 for the class with id #022878. I give it 4 difficulty and 2 quality.,0,0,2604,68
Here is a comment by student #1833 for the class with id #022878. I give it 3 difficulty and 4 quality.,6,0,1833,69
Here is a comment by student #3909 for the class with id #000526. I give it 2 difficulty and 3 quality.,0,0,3909,70
Here is a comment by student #2860 for the class with id #000526. I give it 4 difficulty and 4 quality.,8,0,2860,71
Here is a comment by student #1881 for the class with id #000526. I give it 4 difficulty and 2 quality.,0,0,1881,72
Here is a comment by student #3560 for the class with id #000526. I give it 2 difficulty and 4 quality.,0,0,3560,73
Here is a comment by student #3923 for the class with id #000526. I give it 3 difficulty and 2 quality.,6,1,3923,74
Here is a comment by student #3912 for the class with id #000526. I give it 3 difficulty and 1 quality.,2,2,3912,75
Here is a comment by student #1063 for the class with id #000526. I give it 5 difficulty and 3 quality.,6,0,1063,76
Here is a comment by student #3904 for the class with id #000526. I give it 3 difficulty and 1 quality.,5,0,3904,77
Here is a comment by student #3561 for the class with id #000526. I give it 1 difficulty and 4 quality.,2,0,3561,78
Here is a comment by student #3514 for the class with id #000526. I give it 2 difficulty and 4 quality.,3,0,3514,79
Here is a comment by student #2013 for the class with id #000526. I give it 2 difficulty and 2 quality.,3,0,2013,80
Here is a comment by student #1834 for the class with id #000526. I give it 1 difficulty and 4 quality.,3,0,1834,81
Here is a comment by student #2674 for the class with id #000526. I give it 3 difficulty and 1 quality.,4,0,2674,82
Here is a comment by student #2963 for the class with id #000526. I give it 4 difficulty and 1 quality.,0,0,2963,83
Here is a comment by student #2024 for the class with id #000526. I give it 1 difficulty and 4 quality.,3,0,2024,84
Here is a comment by student #3963 for the class with id #000526. I give it 3 difficulty and 3 quality.,0,0,3963,85
Here is a comment by student #3435 for the class with id #000526. I give it 1 difficulty and 3 quality.,2,0,3435,86
Here is a comment by student #2726 for the class with id #000526. I give it 1 difficulty and 5 quality.,6,0,2726,87
Here is a comment by student #2696 for the class with id #000526. I give it 3 difficulty and 4 quality.,0,2,2696,88
Here is a comment by student #3935 for the class with id #000526. I give it 3 difficulty and 3 quality.,6,1,3935,89
Here is a comment by student #2673 for the class with id #000526. I give it 2 difficulty and 3 quality.,0,0,2673,90
Here is a comment by student #3224 for the class with id #000526. I give it 3 difficulty and 1 quality.,3,0,3224,91
Here is a comment by student #2994 for the class with id #000526. I give it 5 difficulty and 3 quality.,4,0,2994,92
Here is a comment by student #3434 for the class with id #000526. I give it 4 difficulty and 5 quality.,5,0,3434,93
Here is a comment by student #2784 for the class with id #000526. I give it 2 difficulty and 4 quality.,2,0,2784,94
Here is a comment by student #2454 for the class with id #000526. I give it 3 difficulty and 5 quality.,1,2,2454,95
Here is a comment by student #2876 for the class with id #000526. I give it 1 difficulty and 4 quality.,7,0,2876,96
Here is a comment by student #1274 for the class with id #000526. I give it 3 difficulty and 5 quality.,3,1,1274,97
Here is a comment by student #3436 for the class with id #000526. I give it 4 difficulty and 1 quality.,0,2,3436,98
Here is a comment by student #2546 for the class with id #000526. I give it 2 difficulty and 5 quality.,0,0,2546,99
Here is a comment by student #3656 for the class with id #000526. I give it 2 difficulty and 2 quality.,1,0,3656,100
Here is a comment by student #1397 for the class with id #000526. I give it 5 difficulty and 3 quality.,0,0,1397,101
Here is a comment by student #1431 for the class with id #000524. I give it 5 difficulty and 2 quality.,3,0,1431,102
Here is a comment by student #1313 for the class with id #000524. I give it 1 difficulty and 5 quality.,4,2,1313,103
Here is a comment by student #3984 for the class with id #000524. I give it 3 difficulty and 2 quality.,7,0,3984,104
Here is a comment by student #1234 for the class with id #000524. I give it 4 difficulty and 5 quality.,1,0,1234,105
Here is a comment by student #2983 for the class with id #000524. I give it 2 difficulty and 4 quality.,0,0,2983,106
Here is a comment by student #2865 for the class with id #000524. I give it 2 difficulty and 2 quality.,0,0,2865,107
Here is a comment by student #2915 for the class with id #000524. I give it 4 difficulty and 5 quality.,7,0,2915,108
Here is a comment by student #2203 for the class with id #000524. I give it 5 difficulty and 5 quality.,8,0,2203,109
Here is a comment by student #3596 for the class with id #000524. I give it 3 difficulty and 5 quality.,3,2,3596,110
Here is a comment by student #2494 for the class with id #000524. I give it 2 difficulty and 3 quality.,0,0,2494,111
Here is a comment by student #3274 for the class with id #000524. I give it 5 difficulty and 4 quality.,0,2,3274,112
Here is a comment by student #2867 for the class with id #000524. I give it 4 difficulty and 5 quality.,0,0,2867,113
Here is a comment by student #2294 for the class with id #000524. I give it 2 difficulty and 1 quality.,6,0,2294,114
Here is a comment by student #2256 for the class with id #000524. I give it 3 difficulty and 3 quality.,0,0,2256,115
Here is a comment by student #1251 for the class with id #000525. I give it 5 difficulty and 5 quality.,6,0,1251,116
Here is a comment by student #1132 for the class with id #000525. I give it 4 difficulty and 1 quality.,1,0,1132,117
Here is a comment by student #2913 for the class with id #000525. I give it 3 difficulty and 1 quality.,5,0,2913,118
Here is a comment by student #3883 for the class with id #000525. I give it 4 difficulty and 5 quality.,3,0,3883,119
Here is a comment by student #2914 for the class with id #000525. I give it 1 difficulty and 2 quality.,0,2,2914,120
Here is a comment by student #3686 for the class with id #000525. I give it 2 difficulty and 2 quality.,1,0,3686,121
Here is a comment by student #1457 for the class with id #000525. I give it 2 difficulty and 1 quality.,3,2,1457,122
Here is a comment by student #3735 for the class with id #000525. I give it 3 difficulty and 4 quality.,0,1,3735,123
Here is a comment by student #1367 for the class with id #000525. I give it 2 difficulty and 5 quality.,0,1,1367,124
Here is a comment by student #3952 for the class with id #000536. I give it 3 difficulty and 4 quality.,2,0,3952,125
Here is a comment by student #1413 for the class with id #000536. I give it 3 difficulty and 4 quality.,5,2,1413,126
Here is a comment by student #3164 for the class with id #000536. I give it 3 difficulty and 4 quality.,3,0,3164,127
Here is a comment by student #2524 for the class with id #000536. I give it 2 difficulty and 3 quality.,0,0,2524,128
Here is a comment by student #1382 for the class with id #000538. I give it 3 difficulty and 1 quality.,5,0,1382,129
Here is a comment by student #3901 for the class with id #000538. I give it 3 difficulty and 1 quality.,6,0,3901,130
Here is a comment by student #3191 for the class with id #000538. I give it 5 difficulty and 1 quality.,1,0,3191,131
Here is a comment by student #2200 for the class with id #000538. I give it 4 difficulty and 2 quality.,4,0,2200,132
Here is a comment by student #2849 for the class with id #000538. I give it 5 difficulty and 4 quality.,1,0,2849,133
Here is a comment by student #2112 for the class with id #000538. I give it 3 difficulty and 2 quality.,2,0,2112,134
Here is a comment by student #2771 for the class with id #000538. I give it 2 difficulty and 1 quality.,4,0,2771,135
Here is a comment by student #1533 for the class with id #000538. I give it 4 difficulty and 5 quality.,0,1,1533,136
Here is a comment by student #1892 for the class with id #000538. I give it 4 difficulty and 5 quality.,5,0,1892,137
Here is a comment by student #2503 for the class with id #000538. I give it 1 difficulty and 3 quality.,0,0,2503,138
Here is a comment by student #2672 for the class with id #000538. I give it 3 difficulty and 4 quality.,5,0,2672,139
Here is a comment by student #3731 for the class with id #000538. I give it 3 difficulty and 5 quality.,4,0,3731,140
Here is a comment by student #1394 for the class with id #000538. I give it 2 difficulty and 2 quality.,7,2,1394,141
Here is a comment by student #3005 for the class with id #000538. I give it 1 difficulty and 1 quality.,3,0,3005,142
Here is a comment by student #2513 for the class with id #000538. I give it 1 difficulty and 1 quality.,0,0,2513,143
Here is a comment by student #1214 for the class with id #000538. I give it 5 difficulty and 5 quality.,0,2,1214,144
Here is a comment by student #3319 for the class with id #000538. I give it 5 difficulty and 1 quality.,0,0,3319,145
Here is a comment by student #1161 for the class with id #000538. I give it 2 difficulty and 4 quality.,8,0,1161,146
Here is a comment by student #3839 for the class with id #000538. I give it 4 difficulty and 3 quality.,0,0,3839,147
Here is a comment by student #1219 for the class with id #000538. I give it 1 difficulty and 3 quality.,5,1,1219,148
Here is a comment by student #2891 for the class with id #000538. I give it 2 difficulty and 5 quality.,0,1,2891,149
Here is a comment by student #3380 for the class with id #000538. I give it 5 difficulty and 3 quality.,1,2,3380,150
Here is a comment by student #1643 for the class with id #000538. I give it 4 difficulty and 2 quality.,0,0,1643,151
Here is a comment by student #1120 for the class with id #000538. I give it 2 difficulty and 2 quality.,8,2,1120,152
Here is a comment by student #3612 for the class with id #000538. I give it 5 difficulty and 5 quality.,1,2,3612,153
Here is a comment by student #2212 for the class with id #000538. I give it 2 difficulty and 5 quality.,0,2,2212,154
Here is a comment by student #2884 for the class with id #000538. I give it 1 difficulty and 5 quality.,8,0,2884,155
Here is a comment by student #1863 for the class with id #000538. I give it 3 difficulty and 1 quality.,5,0,1863,156
Here is a comment by student #1712 for the class with id #000538. I give it 2 difficulty and 1 quality.,1,0,1712,157
Here is a comment by student #2294 for the class with id #000538. I give it 4 difficulty and 3 quality.,6,0,2294,158
Here is a comment by student #2815 for the class with id #023565. I give it 4 difficulty and 5 quality.,3,0,2815,159
Here is a comment by student #1175 for the class with id #023565. I give it 5 difficulty and 1 quality.,0,0,1175,160
Here is a comment by student #3386 for the class with id #023565. I give it 1 difficulty and 3 quality.,5,0,3386,161
Here is a comment by student #1638 for the class with id #023565. I give it 2 difficulty and 2 quality.,1,1,1638,162
Here is a comment by student #2509 for the class with id #019809. I give it 2 difficulty and 5 quality.,8,0,2509,163
Here is a comment by student #2471 for the class with id #019809. I give it 1 difficulty and 4 quality.,4,0,2471,164
Here is a comment by student #1439 for the class with id #019809. I give it 3 difficulty and 1 quality.,0,0,1439,165
Here is a comment by student #3969 for the class with id #019809. I give it 2 difficulty and 4 quality.,1,0,3969,166
Here is a comment by student #1351 for the class with id #019809. I give it 2 difficulty and 1 quality.,0,1,1351,167
Here is a comment by student #1092 for the class with id #019809. I give it 3 difficulty and 4 quality.,1,0,1092,168
Here is a comment by student #2473 for the class with id #019809. I give it 5 difficulty and 5 quality.,0,1,2473,169
Here is a comment by student #2082 for the class with id #019809. I give it 1 difficulty and 1 quality.,0,0,2082,170
Here is a comment by student #3512 for the class with id #018085. I give it 5 difficulty and 5 quality.,3,0,3512,171
Here is a comment by student #3551 for the class with id #018085. I give it 3 difficulty and 2 quality.,8,1,3551,172
Here is a comment by student #1496 for the class with id #018085. I give it 4 difficulty and 5 quality.,5,0,1496,173
Here is a comment by student #3014 for the class with id #017188. I give it 4 difficulty and 2 quality.,0,0,3014,174
Here is a comment by student #3823 for the class with id #017188. I give it 2 difficulty and 1 quality.,2,0,3823,175
Here is a comment by student #2285 for the class with id #017188. I give it 3 difficulty and 1 quality.,5,0,2285,176
Here is a comment by student #2035 for the class with id #017188. I give it 5 difficulty and 1 quality.,0,0,2035,177
Here is a comment by student #3388 for the class with id #017188. I give it 4 difficulty and 4 quality.,0,0,3388,178
Here is a comment by student #2906 for the class with id #011802. I give it 5 difficulty and 1 quality.,0,0,2906,179
Here is a comment by student #3126 for the class with id #011802. I give it 1 difficulty and 5 quality.,6,2,3126,180
Here is a comment by student #3285 for the class with id #011802. I give it 3 difficulty and 1 quality.,8,0,3285,181
Here is a comment by student #1535 for the class with id #011802. I give it 2 difficulty and 3 quality.,0,0,1535,182
Here is a comment by student #1775 for the class with id #011802. I give it 4 difficulty and 2 quality.,6,0,1775,183
Here is a comment by student #3227 for the class with id #011802. I give it 1 difficulty and 2 quality.,5,0,3227,184
Here is a comment by student #1706 for the class with id #011802. I give it 1 difficulty and 4 quality.,1,0,1706,185
Here is a comment by student #2425 for the class with id #002786. I give it 2 difficulty and 5 quality.,7,0,2425,186
Here is a comment by student #2953 for the class with id #002786. I give it 4 difficulty and 3 quality.,0,0,2953,187
Here is a comment by student #3696 for the class with id #002786. I give it 2 difficulty and 3 quality.,8,0,3696,188
Here is a comment by student #3663 for the class with id #002762. I give it 5 difficulty and 1 quality.,6,2,3663,189
Here is a comment by student #3445 for the class with id #002762. I give it 2 difficulty and 4 quality.,0,0,3445,190
Here is a comment by student #3776 for the class with id #002762. I give it 4 difficulty and 1 quality.,3,1,3776,191
Here is a comment by student #1126 for the class with id #002762. I give it 2 difficulty and 4 quality.,7,0,1126,192
Here is a comment by student #2796 for the class with id #002762. I give it 5 difficulty and 4 quality.,1,0,2796,193
Here is a comment by student #1097 for the class with id #002762. I give it 2 difficulty and 2 quality.,4,0,1097,194
Here is a comment by student #3202 for the class with id #002763. I give it 4 difficulty and 2 quality.,8,0,3202,195
Here is a comment by student #1191 for the class with id #002763. I give it 5 difficulty and 4 quality.,6,0,1191,196
Here is a comment by student #1914 for the class with id #002763. I give it 1 difficulty and 1 quality.,1,0,1914,197
Here is a comment by student #3017 for the class with id #002763. I give it 1 difficulty and 2 quality.,1,0,3017,198
Here is a comment by student #2776 for the class with id #002763. I give it 1 difficulty and 2 quality.,0,0,2776,199
Here is a comment by student #1709 for the class with id #002763. I give it 5 difficulty and 1 quality.,6,0,1709,200
Here is a comment by student #3686 for the class with id #002763. I give it 3 difficulty and 4 quality.,0,0,3686,201
Here is a comment by student #3592 for the class with id #015846. I give it 1 difficulty and 2 quality.,8,0,3592,202
Here is a comment by student #2781 for the class with id #015846. I give it 2 difficulty and 1 quality.,2,0,2781,203
Here is a comment by student #1380 for the class with id #000563. I give it 1 difficulty and 5 quality.,5,0,1380,204
Here is a comment by student #2452 for the class with id #000563. I give it 1 difficulty and 2 quality.,0,0,2452,205
Here is a comment by student #2152 for the class with id #000563. I give it 5 difficulty and 3 quality.,0,0,2152,206
Here is a comment by student #3054 for the class with id #000563. I give it 1 difficulty and 5 quality.,5,0,3054,207
Here is a comment by student #1763 for the class with id #000563. I give it 1 difficulty and 2 quality.,0,0,1763,208
Here is a comment by student #2628 for the class with id #000546. I give it 5 difficulty and 3 quality.,6,0,2628,209
Here is a comment by student #2812 for the class with id #000546. I give it 2 difficulty and 1 quality.,5,0,2812,210
Here is a comment by student #2820 for the class with id #000546. I give it 4 difficulty and 2 quality.,1,1,2820,211
Here is a comment by student #2331 for the class with id #000546. I give it 3 difficulty and 2 quality.,0,2,2331,212
Here is a comment by student #3224 for the class with id #017082. I give it 2 difficulty and 2 quality.,0,0,3224,213
Here is a comment by student #3738 for the class with id #017082. I give it 5 difficulty and 1 quality.,4,0,3738,214
Here is a comment by student #1329 for the class with id #017082. I give it 4 difficulty and 5 quality.,0,0,1329,215
Here is a comment by student #2936 for the class with id #017082. I give it 5 difficulty and 1 quality.,5,0,2936,216
Here is a comment by student #3315 for the class with id #017082. I give it 1 difficulty and 3 quality.,0,1,3315,217
Here is a comment by student #3636 for the class with id #017082. I give it 1 difficulty and 4 quality.,0,0,3636,218
Here is a comment by student #1593 for the class with id #000587. I give it 2 difficulty and 1 quality.,0,0,1593,219
Here is a comment by student #1600 for the class with id #000587. I give it 3 difficulty and 2 quality.,8,0,1600,220
Here is a comment by student #3182 for the class with id #000587. I give it 3 difficulty and 4 quality.,5,1,3182,221
Here is a comment by student #3583 for the class with id #000587. I give it 1 difficulty and 1 quality.,6,0,3583,222
Here is a comment by student #1042 for the class with id #000587. I give it 4 difficulty and 5 quality.,0,0,1042,223
Here is a comment by student #1131 for the class with id #000587. I give it 3 difficulty and 5 quality.,0,0,1131,224
Here is a comment by student #3722 for the class with id #000587. I give it 5 difficulty and 3 quality.,0,0,3722,225
Here is a comment by student #1664 for the class with id #000587. I give it 2 difficulty and 2 quality.,0,0,1664,226
Here is a comment by student #2994 for the class with id #000587. I give it 5 difficulty and 1 quality.,0,0,2994,227
Here is a comment by student #2644 for the class with id #000587. I give it 2 difficulty and 3 quality.,2,0,2644,228
Here is a comment by student #2733 for the class with id #000587. I give it 2 difficulty and 3 quality.,6,2,2733,229
Here is a comment by student #2306 for the class with id #000587. I give it 2 difficulty and 1 quality.,2,0,2306,230
Here is a comment by student #1528 for the class with id #000587. I give it 1 difficulty and 4 quality.,5,0,1528,231
Here is a comment by student #1856 for the class with id #000587. I give it 2 difficulty and 3 quality.,0,0,1856,232
Here is a comment by student #1928 for the class with id #000587. I give it 2 difficulty and 3 quality.,1,0,1928,233
Here is a comment by student #2765 for the class with id #000587. I give it 2 difficulty and 4 quality.,0,0,2765,234
Here is a comment by student #2136 for the class with id #000587. I give it 4 difficulty and 5 quality.,0,0,2136,235
Here is a comment by student #2847 for the class with id #000587. I give it 2 difficulty and 3 quality.,2,0,2847,236
Here is a comment by student #3929 for the class with id #000616. I give it 5 difficulty and 1 quality.,2,0,3929,237
Here is a comment by student #2799 for the class with id #000616. I give it 4 difficulty and 5 quality.,7,0,2799,238
Here is a comment by student #2659 for the class with id #000616. I give it 3 difficulty and 1 quality.,0,0,2659,239
Here is a comment by student #2681 for the class with id #000616. I give it 3 difficulty and 2 quality.,3,0,2681,240
Here is a comment by student #3768 for the class with id #000616. I give it 2 difficulty and 5 quality.,2,2,3768,241
Here is a comment by student #1017 for the class with id #000616. I give it 3 difficulty and 4 quality.,0,0,1017,242
Here is a comment by student #1995 for the class with id #000616. I give it 3 difficulty and 5 quality.,7,0,1995,243
Here is a comment by student #1531 for the class with id #006449. I give it 3 difficulty and 1 quality.,4,0,1531,244
Here is a comment by student #1042 for the class with id #006449. I give it 2 difficulty and 5 quality.,1,0,1042,245
Here is a comment by student #2179 for the class with id #006449. I give it 5 difficulty and 5 quality.,0,2,2179,246
Here is a comment by student #1597 for the class with id #006449. I give it 2 difficulty and 5 quality.,1,0,1597,247
Here is a comment by student #1782 for the class with id #023216. I give it 3 difficulty and 3 quality.,0,0,1782,248
Here is a comment by student #1625 for the class with id #023216. I give it 1 difficulty and 3 quality.,7,0,1625,249
Here is a comment by student #1525 for the class with id #023216. I give it 4 difficulty and 3 quality.,2,2,1525,250
Here is a comment by student #3452 for the class with id #015180. I give it 1 difficulty and 2 quality.,4,0,3452,251
Here is a comment by student #1570 for the class with id #015180. I give it 2 difficulty and 3 quality.,6,1,1570,252
Here is a comment by student #1333 for the class with id #015180. I give it 4 difficulty and 3 quality.,6,0,1333,253
Here is a comment by student #1835 for the class with id #015180. I give it 2 difficulty and 5 quality.,7,0,1835,254
Here is a comment by student #1115 for the class with id #015180. I give it 1 difficulty and 5 quality.,0,0,1115,255
Here is a comment by student #2054 for the class with id #015180. I give it 2 difficulty and 1 quality.,0,1,2054,256
Here is a comment by student #3335 for the class with id #015180. I give it 1 difficulty and 1 quality.,6,1,3335,257
Here is a comment by student #3188 for the class with id #015180. I give it 1 difficulty and 1 quality.,4,0,3188,258
Here is a comment by student #3195 for the class with id #024159. I give it 5 difficulty and 5 quality.,7,1,3195,259
Here is a comment by student #2593 for the class with id #024159. I give it 1 difficulty and 5 quality.,1,1,2593,260
Here is a comment by student #2645 for the class with id #024159. I give it 5 difficulty and 5 quality.,0,0,2645,261
Here is a comment by student #3226 for the class with id #024159. I give it 3 difficulty and 3 quality.,5,0,3226,262
Here is a comment by student #2737 for the class with id #024159. I give it 1 difficulty and 2 quality.,5,0,2737,263
Here is a comment by student #2717 for the class with id #024159. I give it 3 difficulty and 5 quality.,0,0,2717,264
Here is a comment by student #2052 for the class with id #003297. I give it 5 difficulty and 5 quality.,2,0,2052,265
Here is a comment by student #2435 for the class with id #003297. I give it 2 difficulty and 3 quality.,4,2,2435,266
Here is a comment by student #1554 for the class with id #003297. I give it 1 difficulty and 2 quality.,7,0,1554,267
Here is a comment by student #2920 for the class with id #000592. I give it 1 difficulty and 1 quality.,2,0,2920,268
Here is a comment by student #3892 for the class with id #000592. I give it 4 difficulty and 2 quality.,2,0,3892,269
Here is a comment by student #1700 for the class with id #000592. I give it 4 difficulty and 3 quality.,0,0,1700,270
Here is a comment by student #3001 for the class with id #000592. I give it 3 difficulty and 3 quality.,0,0,3001,271
Here is a comment by student #2172 for the class with id #000593. I give it 3 difficulty and 5 quality.,0,0,2172,272
Here is a comment by student #2009 for the class with id #000593. I give it 5 difficulty and 5 quality.,3,0,2009,273
Here is a comment by student #1949 for the class with id #000593. I give it 4 difficulty and 5 quality.,0,0,1949,274
Here is a comment by student #3132 for the class with id #000593. I give it 1 difficulty and 2 quality.,6,2,3132,275
Here is a comment by student #2293 for the class with id #000593. I give it 3 difficulty and 3 quality.,0,2,2293,276
Here is a comment by student #2702 for the class with id #000595. I give it 3 difficulty and 3 quality.,1,0,2702,277
Here is a comment by student #1161 for the class with id #000595. I give it 1 difficulty and 5 quality.,4,0,1161,278
Here is a comment by student #1122 for the class with id #000595. I give it 1 difficulty and 2 quality.,5,0,1122,279
Here is a comment by student #1184 for the class with id #000601. I give it 4 difficulty and 4 quality.,2,0,1184,280
Here is a comment by student #2764 for the class with id #000601. I give it 2 difficulty and 3 quality.,0,1,2764,281
Here is a comment by student #2741 for the class with id #000601. I give it 5 difficulty and 2 quality.,1,0,2741,282
Here is a comment by student #3445 for the class with id #000601. I give it 3 difficulty and 5 quality.,8,1,3445,283
Here is a comment by student #3716 for the class with id #000601. I give it 2 difficulty and 1 quality.,2,0,3716,284
Here is a comment by student #1005 for the class with id #000601. I give it 3 difficulty and 1 quality.,8,2,1005,285
Here is a comment by student #1307 for the class with id #000601. I give it 4 difficulty and 1 quality.,0,1,1307,286
Here is a comment by student #1201 for the class with id #000610. I give it 2 difficulty and 5 quality.,0,0,1201,287
Here is a comment by student #2461 for the class with id #000610. I give it 4 difficulty and 3 quality.,0,0,2461,288
Here is a comment by student #2821 for the class with id #000610. I give it 5 difficulty and 1 quality.,0,0,2821,289
